time,Sum_NL
2014-08-27 00:00:00,0.8231335440610315
2014-08-27 00:15:00,0.7123998586440717
2014-08-27 00:30:00,1.1907613362836096
2014-08-27 00:45:00,-0.02699473746891201
2014-08-27 01:00:00,0.7531003611444198
2014-08-27 01:15:00,0.6311857881209499
2014-08-27 01:30:00,1.3999649829926886
2014-08-27 01:45:00,0.03441511784461759
2014-08-27 02:00:00,0.7731379654921451
2014-08-27 02:15:00,1.040630228453538
2014-08-27 02:30:00,0.4329867511340373
2014-08-27 02:45:00,-0.2840074800786405
2014-08-27 03:00:00,1.2818638158264735
2014-08-27 03:15:00,-0.13126552606361463
2014-08-27 03:30:00,0.6883962106057209
2014-08-27 03:45:00,1.245039436444769
2014-08-27 04:00:00,-0.07567109624973278
2014-08-27 04:15:00,0.873892549983936
2014-08-27 04:30:00,1.2786362084168545
2014-08-27 04:45:00,-0.12725569851261798
2014-08-27 05:00:00,0.3422775142474178
2014-08-27 05:15:00,0.621122902068622
2014-08-27 05:30:00,0.5241964862788673
2014-08-27 05:45:00,0.18981988345832124
2014-08-27 06:00:00,0.5264189336734206
2014-08-27 06:15:00,-0.12554861683281981
2014-08-27 06:30:00,-0.1059482823779423
2014-08-27 06:45:00,-0.05130112021628913
2014-08-27 07:00:00,0.07022618054073004
2014-08-27 07:15:00,-0.5102723187199075
2014-08-27 07:30:00,-0.19437534935565526
2014-08-27 07:45:00,0.015905208584425568
2014-08-27 08:00:00,-0.361153079579409
2014-08-27 08:15:00,-0.3360689814183253
2014-08-27 08:30:00,-0.23538837531455337
2014-08-27 08:45:00,-0.2116676220532151
2014-08-27 09:00:00,-0.3614339996634922
2014-08-27 09:15:00,-0.6856536497465339
2014-08-27 09:30:00,-0.8824563733120385
2014-08-27 09:45:00,-0.752660810016796
2014-08-27 10:00:00,-0.8154411735137663
2014-08-27 10:15:00,-0.5971013207395358
2014-08-27 10:30:00,-0.8161698264099704
2014-08-27 10:45:00,-0.8233686895790733
2014-08-27 11:00:00,-0.49040939293249086
2014-08-27 11:15:00,-0.7800990112879962
2014-08-27 11:30:00,-0.9148924256422386
2014-08-27 11:45:00,-0.7682096317034368
2014-08-27 12:00:00,-0.8027151586674788
2014-08-27 12:15:00,-0.661205058634634
2014-08-27 12:30:00,-0.6998774858775393
2014-08-27 12:45:00,-0.8177526441562439
2014-08-27 13:00:00,-0.8255199306138973
2014-08-27 13:15:00,-0.8474003890007711
2014-08-27 13:30:00,-0.5653053784737283
2014-08-27 13:45:00,-0.4655681541067028
2014-08-27 14:00:00,-0.7764811360443901
2014-08-27 14:15:00,-0.6831531346503095
2014-08-27 14:30:00,-0.7139214335356624
2014-08-27 14:45:00,-0.8446460419924904
2014-08-27 15:00:00,-0.8463259100979523
2014-08-27 15:15:00,-0.8400569902325732
2014-08-27 15:30:00,-0.9739572501306029
2014-08-27 15:45:00,-0.7227749716232001
2014-08-27 16:00:00,-0.44236425594309897
2014-08-27 16:15:00,-0.2645560692152651
2014-08-27 16:30:00,-0.41745943598517427
2014-08-27 16:45:00,-0.4427449754250677
2014-08-27 17:00:00,-0.29037438525166304
2014-08-27 17:15:00,-0.052197340193518654
2014-08-27 17:30:00,-0.477426126253465
2014-08-27 17:45:00,-0.4543748473512804
2014-08-27 18:00:00,-0.4037476907341828
2014-08-27 18:15:00,-0.2559880959408589
2014-08-27 18:30:00,-0.4662972854016847
2014-08-27 18:45:00,-0.26832714658135426
2014-08-27 19:00:00,-0.44632579339726636
2014-08-27 19:15:00,-0.2538365864732394
2014-08-27 19:30:00,-0.3854045538018456
2014-08-27 19:45:00,-0.4026604046622799
2014-08-27 20:00:00,-0.2159265259212757
2014-08-27 20:15:00,-0.5159886637549702
2014-08-27 20:30:00,-0.45346989549872657
2014-08-27 20:45:00,-0.22880102177986283
2014-08-27 21:00:00,-0.22328918499816902
2014-08-27 21:15:00,-0.3070058343792883
2014-08-27 21:30:00,-0.6662431333690593
2014-08-27 21:45:00,-0.229881083770815
2014-08-27 22:00:00,-0.28586325330160584
2014-08-27 22:15:00,-0.3889685804972608
2014-08-27 22:30:00,-0.6299844446097829
2014-08-27 22:45:00,-0.21353999371163807
2014-08-27 23:00:00,-0.07578957386980761
2014-08-27 23:15:00,-0.2630052481413391
2014-08-27 23:30:00,-0.13862830383108254
2014-08-27 23:45:00,-0.4368034325366433
